energy,attenlength
30.0,4.344650802571587e6
30.418,4.295890762089595e6
30.842,4.247601641201514e6
31.272,4.200469357693506e6
31.708,4.160896946277513e6
32.15,4.138538369778201e6
32.598,4.1181019851642344e6
33.053,4.097635317209236e6
33.513,4.077365095691184e6
33.98,4.057064163284552e6
34.454,4.0369574245908256e6
34.934,4.016931218344396e6
35.421,3.9970961132144756e6
35.915,3.9772286109097595e6
36.416,3.9575500748842466e6
36.923,3.9379486842921064e6
37.438,3.918423836630666e6
37.96,3.8989749364280873e6
38.489,3.8796013951343964e6
39.026,3.860410843240438e6
39.57,3.8341838935290864e6
40.121,3.797717130998154e6
40.68,3.7573784523003586e6
41.248,3.717467774983419e6
41.822,3.677977484123923e6
42.405,3.638900170271943e6
42.997,3.6002286221432313e6
43.596,3.5619558196335314e6
44.204,3.524074927138137e6
44.82,3.4866797059069993e6
45.445,3.449562090250081e6
46.078,3.412025420140216e6
46.72,3.3717252679867456e6
47.372,3.3303845451864107e6
48.032,3.289479367736551e6
48.701,3.2490976391238347e6
49.38,3.209229431021973e6
50.069,3.169865109607625e6
50.767,3.1309018006450967e6
51.474,3.092518187820898e6
52.192,3.0545190958946445e6
52.919,3.0215623342972733e6
53.657,2.998466340043429e6
54.405,2.977471462476627e6
55.163,2.9567450124945464e6
55.932,2.936104125098521e6
56.712,2.91554809675578e6
57.502,2.8952546638077856e6
58.304,2.875043262714519e6
59.117,2.8549132329527144e6
59.941,2.8585430614478122e6
60.776,2.874065927992035e6
61.624,2.8915980956460317e6
62.483,2.9091919550620513e6
63.353,2.926937725464478e6
64.237,2.9447467027378487e6
65.132,2.9600880135496994e6
66.04,2.9470899739873423e6
66.96,2.925052609776836e6
67.894,2.9031119485905045e6
68.84,2.8813561142053e6
69.8,2.85535575390637e6
70.773,2.796579164632124e6
71.759,2.701615472775069e6
72.76,2.6082533520241226e6
73.774,2.518091627583194e6
74.802,2.4139450753606735e6
75.845,2.2876092587183984e6
76.902,2.1502236354127754e6
77.974,2.0210794435386625e6
79.061,1.9008877529070748e6
80.163,1.8459793081766358e6
81.281,1.803127973177362e6
82.414,1.761351863030423e6
83.562,1.7212621197008763e6
84.727,1.6913692928392058e6
85.908,1.6913692928392058e6
87.106,1.6913692928392058e6
88.32,1.6913692928392058e6
89.551,1.6913692928392058e6
90.799,1.6940347998396654e6
92.065,1.702602097338911e6
93.348,1.7168901339767994e6
94.65,1.731360493976803e6
95.969,1.7458728538204834e6
97.307,1.765905273422383e6
98.663,1.8047776056111888e6
100.04,7.751130264011271e6
101.43,1.7734816559775103e7
102.85,1.2584154236863224e7
104.28,1.0960588199840374e7
105.73,1.2419216077174019e7
107.21,1.476825136587312e7
108.7,1.5828808446093572e7
110.22,1.6471230659464886e7
111.75,1.77318672701214e7
113.31,1.855521633407829e7
114.89,1.9682603185142733e7
116.49,2.1475209623532403e7
118.12,2.3040321850507136e7
119.76,2.3631889144618914e7
121.43,2.421561426478005e7
123.13,2.4474872544104867e7
124.84,2.4562078571699053e7
126.58,2.4698601355633263e7
128.35,2.4944026557548035e7
130.14,2.5375549086408697e7
131.95,2.5725321161257148e7
133.79,2.5391974988379832e7
135.65,2.400908936749168e7
137.54,2.2937142522559673e7
139.46,2.2772385358362865e7
141.41,2.2702533363311846e7
143.38,2.2471723154496033e7
145.38,2.27600431893693e7
147.4,2.2858193513896495e7
149.46,2.269831691892986e7
151.54,2.3065457383680508e7
153.65,2.2541578723121047e7
155.79,2.1624830016961347e7
157.97,2.180132571446185e7
160.17,2.2085575486731883e7
162.4,2.2540217376286842e7
164.66,2.2763837535975214e7
166.96,2.254657350172285e7
169.29,2.256569050270799e7
171.65,2.174954002396211e7
174.04,2.0432774899736356e7
176.47,1.9252523327248648e7
178.93,1.8527280452593688e7
181.42,1.8202161029381547e7
183.95,1.7826234468343306e7
186.51,1.7457361299509704e7
189.11,1.7091819432920326e7
191.75,1.6719786522450404e7
194.42,1.6355979810339501e7
197.13,1.6000025020589748e7
199.88,1.565180705668731e7
202.67,1.5319199113843344e7
205.49,1.5005935621184774e7
208.36,1.470612574527665e7
211.26,1.4412375096847791e7
214.2,1.4124465269345352e7
217.19,1.3842266424799955e7
220.22,1.3558559484676013e7
223.29,1.3248529120639833e7
226.4,1.2918179339239934e7
229.56,1.2596000011727775e7
232.76,1.2281887518370135e7
236.0,1.1975585676990967e7
239.29,1.1676987913702982e7
242.63,1.1385561485105073e7
246.01,1.1101800763691884e7
249.44,1.0816725129512709e7
252.91,1.0526053667868994e7
256.44,1.0240489626999527e7
260.01,9.962284158562174e6
263.64,9.69214104353779e6
267.31,9.429251963138252e6
271.04,9.173230468152637e6
274.82,8.924316512701068e6
278.65,8.68238072802412e6
282.53,8.446736478312012e6
286.47,8.217559463839259e6
290.46,7.994715876707295e6
294.51,7.777827234848054e6
298.62,7.563144282530199e6
302.78,7.350119283257111e6
307.0,7.141001381015917e6
311.28,6.937875905098066e6
315.62,6.740370741500964e6
320.02,6.548518794790891e6
324.48,6.362150524854218e6
329.0,6.181102759380284e6
333.59,6.005218824100281e6
338.24,5.834348581872169e6
342.96,5.66834840241756e6
347.74,5.507081080004221e6
352.58,5.35041571277068e6
357.5,5.198086145807685e6
362.48,5.050260558443148e6
367.53,4.89695144408736e6
372.66,4.739810069153102e6
377.85,4.585205066324296e6
383.12,4.435723180717258e6
388.46,4.291052603988152e6
393.87,4.151138605541565e6
399.36,4.015814798029839e6
404.93,3.88481833326528e6
410.58,3.758226574771276e6
416.3,3.6355885006554937e6
422.1,3.517098816653428e6
427.99,3.402438258065955e6
433.95,3.2914104661693303e6
440.0,3.1841177975350083e6
446.13,3.0802825909769083e6
452.35,2.9798301242519864e6
458.66,2.8823348750971397e6
465.05,2.7868789929291294e6
471.54,2.69166931591296e6
478.11,2.599836408416371e6
484.77,2.5110641033388404e6
491.53,2.4253020793998213e6
498.38,2.3425037956049456e6
505.33,2.2625477347157737e6
512.37,2.1853207010196857e6
519.52,2.1107171058048885e6
526.76,2.0386383288121175e6
534.1,1.9689921462055813e6
541.54,1.9017653564665478e6
549.09,1.8368742068051472e6
556.75,1.7741689138689472e6
564.51,1.7135784322752734e6
572.38,1.6551056049261221e6
580.36,1.5985475964527044e6
588.45,1.542077664193466e6
596.65,1.4865749351008092e6
604.97,1.4328134959193235e6
613.4,1.3809418937028334e6
621.95,1.3310382039261842e6
630.62,1.282855387133641e6
639.41,1.2364768632926515e6
648.32,1.191793585603451e6
657.36,1.148638395956125e6
666.52,1.1071001870896798e6
675.81,1.0670800877784952e6
685.23,1.0284831885524454e6
694.79,991584.0068959537
704.47,957255.5229085998
714.29,924785.1329781864
724.25,893361.118586905
734.34,863084.0032312091
744.58,833757.0160154707
754.96,805482.0617173249
765.48,778125.4979169349
776.15,751731.2957747028
786.97,726227.2467837062
797.94,701082.7284579488
809.06,675835.0762024556
820.34,651169.8896692491
831.78,627419.3052261097
843.37,604514.4868383118
855.13,582500.5447944016
867.05,561254.3318129027
879.13,540766.5037152884
891.39,521028.13621348015
903.81,501367.38304634596
916.41,481783.63622053113
929.19,462715.05973605916
942.14,444374.65254587884
955.27,426754.6904988474
968.59,409847.8143362534
982.09,393647.01884045865
995.78,378037.7875423925
1009.7,363014.7570982708
1023.7,348626.4124578273
1038.0,334760.49069649697
1052.5,321466.0894676947
1067.1,308738.7614570475
1082.0,296468.164875974
1097.1,285180.34191641404
1112.4,274763.0655699032
1127.9,264841.9038612237
1143.6,255308.71125223773
1159.6,246108.7864617317
1175.7,237240.3259365547
1192.1,228701.59838400685
1208.7,220438.68963377067
1225.6,212502.42866074303
1242.7,204787.10178293215
1260.0,197395.73272156806
1277.6,190274.96434632767
1295.4,183371.78934689687
1313.4,176685.3214484271
1331.7,170266.43662441862
1350.3,164062.44873275142
1369.1,158124.1750910659
1388.2,152347.5840810001
1407.6,146783.6133049914
1427.2,141431.56100257553
1447.1,136239.3724656862
1467.2,131257.88572190475
1487.7,126435.19613441883
1508.4,121719.6169475869
1529.5,117110.84972246288
1550.8,112710.88218246504
1572.4,108416.97415579438
1594.3,104330.9634069241
1616.5,100401.32917095996
1639.1,96576.73018489209
1661.9,92907.86543195289
1685.1,89394.39443645735
1708.6,86035.99168860467
1732.4,82730.6771311304
1756.5,79529.14841888395
1781.0,76431.20768850949
1805.8,73385.92423075494
1831.0,70494.62189750824
1856.5,771470.1171689777
1882.4,746329.8141981348
1908.7,722008.4468686074
1935.3,698494.7217978771
1962.2,675720.6047172975
1989.6,653676.526612607
2017.3,632296.5797837051
2045.4,611516.1819406915
2074.0,591440.8160591446
2102.9,571669.9522846733
2132.2,552423.6658763597
2161.9,533751.8497344028
2192.0,515648.3625323341
2222.6,498052.0628307245
2253.6,481012.88936530356
2285.0,464470.5043752989
2316.8,448474.87309415784
2349.1,432966.41292547714
2381.9,417940.7600336622
2415.1,403339.5153372741
2448.8,389267.19602432055
2482.9,375611.6629860818
2517.5,362369.61661803635
2552.6,349591.49781726155
2588.2,337220.3574855047
2624.2,325253.2612716382
2660.8,313634.14954152505
2697.9,302466.9021448124
2735.5,291642.549500632
2773.7,281158.92235025804
2812.3,271066.71528327564
2851.5,261258.24099371387
2891.3,251837.0368189331
2931.6,242695.97832330945
2972.4,233885.9577946445
3013.9,225352.9518445087
3055.9,217147.7896366799
3098.5,209216.74629405566
3141.7,201558.54035933406
3185.5,194119.9592879104
3229.9,187003.85127241403
3274.9,180105.18789606722
3320.5,173474.84898443427
3366.8,167008.38317015173
3413.8,160860.068531755
3461.4,154874.02149715263
3509.6,149101.18206239675
3558.5,143540.8206837187
3608.1,138192.23651978362
3658.4,133054.7571314571
3709.4,128076.44062277753
3761.1,123256.81720564669
3813.6,118646.63349618357
3866.7,114143.00470010669
3920.6,109847.86714498611
3975.3,105709.61876713982
4030.7,101727.87332715097
4086.9,97902.25989471731
4143.8,94181.471731473
4201.6,90616.19129844647
4260.2,87155.20864839734
4319.5,83849.15437986646
4379.8,80646.90964941823
4440.8,77599.05829018404
4502.7,74654.5669421047
4565.5,71762.5311220024
4629.1,69024.24988279468
4693.6,66388.80306287187
4759.1,63856.02891190014
4825.4,61375.15437806289
4892.7,59047.28979748802
4960.9,56771.079193525125
5030.0,54597.00124638628
5100.1,52474.3954632579
5171.2,50453.703550853796
5243.3,48534.80235071168
5316.4,46616.63730442047
5390.5,44850.5571262036
5465.7,43085.100535571255
5541.8,41421.09793848756
5619.1,39808.04835346786
5697.4,38296.28683744626
5776.8,36784.98226784505
5857.4,35374.843359816965
5939.0,33965.10203800914
6021.8,32656.4123309324
6105.7,31398.379786542246
6190.9,30140.663691708985
6277.2,28983.844235887267
6364.7,27877.5716659282
6453.4,26771.54380962594
6543.3,25716.018128787062
6634.5,24710.96269659613
6727.0,23756.347127433357
6820.8,22801.91378165801
6915.9,21897.881796552272
7012.3,21044.22387027341
7110.0,20240.914232846706
7209.1,19437.733635962537
7309.6,18684.86898454697
7411.5,17932.117677101753
7514.8,17229.65202149904
7619.6,16527.285043632408
7725.8,15875.17546823481
7833.5,15273.30364614356
7942.7,14671.504265270381
8053.4,14069.777308179333
8165.7,13518.257871574117
8279.5,13016.92935057464
8394.9,12465.52602856243
8511.9,11964.303044061595
8630.6,11513.245313377789
8750.9,11062.228269639416
8872.9,10611.251905505826
8996.5,10210.418171124244
9121.9,9809.616567702813
9249.1,9408.847090091798
9378.0,9008.109733141044
9508.7,8657.490890740713
9641.3,8306.896633330927
9775.7,8006.406834869396
9912.0,7655.858226153318
10050.0,7355.407550048591
10190.0,7054.974926981369
10332.0,6804.628196707739
10476.0,6504.228665240348
10622.0,6253.909508263013
10770.0,6003.602882594386
10921.0,5753.30878697986
11073.0,5553.082531284552
11227.0,5302.810986605851
11384.0,5102.60277003425
11542.0,4902.402569807103
11703.0,4702.210385283597
11866.0,4502.026215820776
12032.0,4351.893348221808
12199.0,4151.7232035719435
12369.0,4001.6008538457763
12542.0,3851.4830113282596
12717.0,3701.369675748202
12894.0,3551.2608468361022
13074.0,3401.1565243208156
13256.0,3251.05670793178
13441.0,3150.992666942109
13628.0,3000.900360162303
13818.0,2900.8413253283134
14011.0,2750.7565274063522
14206.0,2650.7024982271587
14404.0,2550.650471169652
14605.0,2450.6004461537073
14808.0,2350.5524230992046
15015.0,2250.5064019260285
15224.0,2150.462382554624
15436.0,2050.4203649037745
15652.0,2000.4001066984567
15870.0,1900.3610914796404
16091.0,1850.342334445008
16315.0,1750.3063214769036
16543.0,1700.2890655234103
16773.0,1600.2560546263787
17007.0,1550.240299663376
17244.0,1500.2250450099623
17484.0,1450.2102906572388
17728.0,1400.1960365940863
17975.0,1300.1690292992369
18226.0,1250.1562760464128
18480.0,1200.1440230442379
18738.0,1150.1322702815942
18999.0,1100.1210177495852
19264.0,1100.1210177495852
19532.0,1050.110265437649
19804.0,1000.1000133352236
20080.0,950.0902614334135
20360.0,900.0810097211023
20644.0,900.0810097211023
20932.0,850.0722581893949
21224.0,800.0640068277311
21520.0,800.0640068277311
21820.0,750.0562556255503
22124.0,700.0490045739585
22432.0,700.0490045739585
22745.0,650.0422536618411
23062.0,650.0422536618411
23383.0,600.0360028803042
23709.0,600.0360028803042
24040.0,550.0302522187889
24375.0,550.0302522187889
24715.0,500.02500166673667
25059.0,500.02500166673667
25408.0,500.02500166673667
25763.0,450.0202512152545
26122.0,450.0202512152545
26486.0,450.0202512152545
26855.0,400.01600085322946
27229.0,400.01600085322946
27609.0,400.01600085322946
27994.0,350.01225057176913
28384.0,350.01225057176913
28780.0,350.01225057176913
29181.0,300.0090003597611
29588.0,300.0090003597611
30000.0,300.0090003597611
